
Name                                           PackageFullName                                               
Microsoft.Edge.GameAssist                      Microsoft.Edge.GameAssist_1.0.3336.0_x64__8wekyb3d8bbwe       
Microsoft.GamingApp                            Microsoft.GamingApp_2402.900.28.0_x64__8wekyb3d8bbwe          
Microsoft.GetHelp                              Microsoft.GetHelp_10.2302.10601.0_x64__8wekyb3d8bbwe          
Microsoft.HEIFImageExtension                   Microsoft.HEIFImageExtension_1.0.63001.0_x64__8wekyb3d8bbwe   
Microsoft.HEVCVideoExtension                   Microsoft.HEVCVideoExtension_2.0.61931.0_x64__8wekyb3d8bbwe   
Microsoft.MicrosoftOfficeHub                   Microsoft.MicrosoftOfficeHub_18.2308.1034.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftSolitaireCollection         Microsoft.MicrosoftSolitaireCollection_4.19.3190.0_x64__8we...
Microsoft.MicrosoftStickyNotes                 Microsoft.MicrosoftStickyNotes_4.0.4602.0_x64__8wekyb3d8bbwe  
Microsoft.MPEG2VideoExtension                  Microsoft.MPEG2VideoExtension_1.0.61931.0_x64__8wekyb3d8bbwe  
Microsoft.OutlookForWindows                    Microsoft.OutlookForWindows_1.2025.617.100_x64__8wekyb3d8bbwe 
Microsoft.PowerAutomateDesktop                 Microsoft.PowerAutomateDesktop_1.0.1080.0_x64__8wekyb3d8bbwe  
Microsoft.RawImageExtension                    Microsoft.RawImageExtension_2.3.171.0_x64__8wekyb3d8bbwe      
Microsoft.SecHealthUI                          Microsoft.SecHealthUI_1000.26100.1.0_x64__8wekyb3d8bbwe       
Microsoft.StorePurchaseApp                     Microsoft.StorePurchaseApp_22312.1400.6.0_x64__8wekyb3d8bbwe  
Microsoft.Todos                                Microsoft.Todos_0.104.62421.0_x64__8wekyb3d8bbwe              
Microsoft.VP9VideoExtensions                   Microsoft.VP9VideoExtensions_1.1.451.0_x64__8wekyb3d8bbwe     
Microsoft.WebMediaExtensions                   Microsoft.WebMediaExtensions_1.0.62931.0_x64__8wekyb3d8bbwe   
Microsoft.WebpImageExtension                   Microsoft.WebpImageExtension_1.0.62681.0_x64__8wekyb3d8bbwe   
Microsoft.Windows.DevHome                      Microsoft.Windows.DevHome_0.0.0.0_x64__8wekyb3d8bbwe          
Microsoft.Windows.Photos                       Microsoft.Windows.Photos_24.24010.29003.0_x64__8wekyb3d8bbwe  
Microsoft.WindowsAlarms                        Microsoft.WindowsAlarms_1.0.188.0_x64__8wekyb3d8bbwe          
Microsoft.WindowsCalculator                    Microsoft.WindowsCalculator_11.2311.0.0_x64__8wekyb3d8bbwe    
Microsoft.WindowsCamera                        Microsoft.WindowsCamera_2023.2312.3.0_x64__8wekyb3d8bbwe      
Microsoft.WindowsFeedbackHub                   Microsoft.WindowsFeedbackHub_1.2401.20253.0_x64__8wekyb3d8bbwe
Microsoft.WindowsSoundRecorder                 Microsoft.WindowsSoundRecorder_1.0.76.0_x64__8wekyb3d8bbwe    
Microsoft.Xbox.TCUI                            Microsoft.Xbox.TCUI_1.23.28005.0_x64__8wekyb3d8bbwe           
Microsoft.XboxGamingOverlay                    Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe   
Microsoft.XboxSpeechToTextOverlay              Microsoft.XboxSpeechToTextOverlay_1.97.17002.0_x64__8wekyb3...
Microsoft.YourPhone                            Microsoft.YourPhone_0.24012.105.0_x64__8wekyb3d8bbwe          
MicrosoftCorporationII.QuickAssist             MicrosoftCorporationII.QuickAssist_2.0.29.0_x64__8wekyb3d8bbwe
MicrosoftWindows.CrossDevice                   MicrosoftWindows.CrossDevice_0.23101.22.0_x64__cw5n1h2txyewy  
MSTeams                                        MSTeams_25153.1010.3727.5483_x64__8wekyb3d8bbwe               
Microsoft.MicrosoftEdge.Stable                 Microsoft.MicrosoftEdge.Stable_138.0.3351.55_neutral__8weky...
Microsoft.Copilot                              Microsoft.Copilot_0.4.2.0_neutral__8wekyb3d8bbwe              
MicrosoftWindows.Client.WebExperience          MicrosoftWindows.Client.WebExperience_525.15301.20.0_x64__c...
